Animal_ID,U_mL,Log_Conc_U_mL,Mean_OD
213,10.55243224,1.023352572,0.267
214,NA,NA,0.191
217,NA,NA,0.1775
219,6.362472396,0.803625911,0.246
220,NA,NA,0.194
221,4.528817713,0.65598484,0.2375
224,NA,NA,0.191
225,13.46299535,1.129141696,0.2825
237,NA,NA,0.2055
238,NA,NA,0.1475
239,24.86012522,1.395503312,0.3475
240,NA,NA,0.159
241,NA,NA,0.1505
242,NA,NA,0.164
243,NA,NA,0.167
244,NA,NA,0.1335
245,10.16773073,1.007224036,0.265
248,NA,NA,0.161
253,NA,NA,0.1895
254,NA,NA,0.1695
257,NA,NA,0.1555
259,5.621033221,0.749816152,0.2425
260,NA,NA,0.162
261,NA,NA,0.164
262,2.413120003,0.38257892,0.2285
263,NA,NA,0.2125
264,NA,NA,0.182
265,1.766809274,0.24718967,0.226
266,11.0300318,1.042576764,0.2695
268,NA,NA,0.196
269,NA,NA,0.2065
271,NA,NA,0.1765
272,18.14041807,1.258647292,0.3085
275,NA,NA,0.194
276,NA,NA,0.2135
277,1.069390165,0.029136186,0.2235
278,1529.023791,3.184414243,3.377
279,378.4494466,2.578007874,2.025
280,NA,NA,0.2155
284,NA,NA,0.2005
Negative_Use,NA,NA,0.188
Blank,NA,NA,0.168
2x Negative,29.63099054,1.47174617,0.376
