Animal_ID,U_mL,Log_Conc_U_mL,Mean_OD
362,6.149685637,0.788852916,0.1875
363,NA,NA,0.1525
365,5.895095459,0.770490842,0.1865
370,28.97266128,1.461988389,0.3005
373,NA,NA,0.119
375,NA,NA,0.155
379,NA,NA,0.148
380,NA,NA,0.15
382,NA,NA,0.157
387,NA,NA,0.1395
389,11.82923177,1.072956541,0.212
390,NA,NA,0.163
397,134.7653411,2.129578215,0.9305
398,NA,NA,0.169
401,NA,NA,0.1525
402,NA,NA,0.127
403,5.377490348,0.73057964,0.1845
404,NA,NA,0.123
406,NA,NA,0.1365
407,NA,NA,0.1205
415,NA,NA,0.1335
422,NA,NA,0.121
424,NA,NA,0.145
426,3.738836229,0.572736442,0.1785
427,19.47377424,1.289450131,0.2495
429,7.507857663,0.87551603,0.193
430,249.5531121,2.39716299,1.514
431,NA,NA,0.134
432,NA,NA,0.119
433,23.47298938,1.370568402,0.2705
434,NA,NA,0.1635
435,699.2517464,2.84463356,2.73
436,8.692282629,0.939133839,0.198
438,6.401707926,0.806295856,0.1885
439,365.4757108,2.562858519,1.9605
440,NA,NA,0.169
441,NA,NA,0.1635
442,509.5108693,2.707153453,2.3645
443,1.532969179,0.185533423,0.1715
444,877.0604509,2.943029528,2.966
Negative_Use,NA,NA,0.154
Blank,NA,NA,0.137
2x Negative,30.31754832,1.481694078,0.308
