Animal_ID,U_mL,Log_Conc_U_mL,Mean_OD
285,9.48752783,0.977153063,0.13
287,4.968331076,0.696210528,0.112
289,9.239962783,0.965670222,0.129
291,NA,NA,0.096
292,NA,NA,0.0925
293,5.096195814,0.707246107,0.1125
294,5.223884344,0.717993553,0.113
296,67.80578457,1.831266745,0.3745
298,12.6808684,1.103148996,0.143
300,NA,NA,0.0875
301,1252.450635,3.097760617,3.156
302,4.067824365,0.609362193,0.1085
303,5.351402015,0.728467578,0.1135
305,8.992072808,0.953859815,0.128
307,3.808563817,0.580761237,0.1075
308,NA,NA,0.0735
310,4.067824365,0.609362193,0.1085
312,NA,NA,0.086
314,NA,NA,0.0715
324,NA,NA,0.0755
326,NA,NA,0.081
327,4.840284482,0.684870888,0.1115
328,6.113187028,0.786267683,0.1165
329,NA,NA,0.076
330,5.8598618,0.767887374,0.1155
331,4.583621458,0.661208744,0.1105
332,2.495078703,0.397084249,0.1025
342,3.938314977,0.595310447,0.108
347,1.687886223,0.227343168,0.0995
348,NA,NA,0.0905
352,NA,NA,0.091
353,3.286929076,0.516790333,0.1055
360,NA,NA,0.089
361,864.9597405,2.936995894,2.592
Negative,NA,NA,0.092
Blank_Use,7.497158468,0.874896691,0.122
2x Blank,36.82074915,1.56609262,0.244
