Animal_ID,U_mL,Log_Conc_U_mL,Mean_OD
445,36.54021165,1.562771059,0.2535
446,2150.116549,3.332462002,2.938
447,1558.823457,3.192796932,2.76
449,NA,NA,0.1335
450,NA,NA,0.117
452,8.931739769,0.950936061,0.1565
453,NA,NA,0.117
454,NA,NA,0.1255
455,366.605897,2.564199446,1.455
456,8.407411519,0.924662305,0.155
459,5671.71968,3.753714758,3.235
461,NA,NA,0.108
462,NA,NA,0.092
463,50.63356273,1.704438487,0.31
464,3473.884416,3.540815364,3.122
465,14.00580071,1.146307942,0.172
466,165.4971819,2.218790603,0.7885
467,NA,NA,0.1355
468,NA,NA,0.097
469,NA,NA,0.097
470,NA,NA,0.077
471,NA,NA,0.0805
472,NA,NA,0.109
473,NA,NA,0.1155
474,6.408204577,0.806736368,0.1495
476,NA,NA,0.128
477,39.7199412,1.599008597,0.266
478,NA,NA,0.1095
479,3302.1654,3.518798823,3.1065
485,NA,NA,0.0955
498,NA,NA,0.115
499,NA,NA,0.12
509,13.22098281,1.12126374,0.1695
512,2.215361701,0.345444643,0.1395
528,NA,NA,0.121
529,NA,NA,0.1285
531,NA,NA,0.114
532,NA,NA,0.103
209,3.377425389,0.528585764,0.142
Negative_Use,NA,NA,0.1365
Blank,NA,NA,0.1265
2x Negative,41.48280274,1.617868091,0.273
