Animal_ID,U_mL,Log_Conc_U_mL,Mean_OD
448,NA,NA,0.1725
451,NA,NA,0.104
458,NA,NA,0.108
486,NA,NA,0.1415
488,NA,NA,0.1135
490,NA,NA,0.0975
497,NA,NA,0.1145
500,NA,NA,0.1115
502,NA,NA,0.1255
503,NA,NA,0.0845
504,NA,NA,0.0975
505,NA,NA,0.087
506,NA,NA,0.0845
507,NA,NA,0.0925
511,NA,NA,0.134
513,NA,NA,0.1135
515,NA,NA,0.073
516,NA,NA,0.047
517,NA,NA,0.054
518,NA,NA,0.0655
519,NA,NA,0.0805
520,NA,NA,0.0875
521,NA,NA,0.1185
522,NA,NA,0.1635
523,5.567459621,0.745657076,0.2555
524,NA,NA,0.0815
526,NA,NA,0.0645
527,NA,NA,0.0645
71,NA,NA,0.0875
78,NA,NA,0.076
191,NA,NA,0.101
Negative_Use,NA,NA,0.0935
Blank,NA,NA,0.084
2x Negative,1.6118475,0.20732395,0.187
