Animal_ID,U_mL,Log_Conc_U_mL,Mean_OD
448,NA,NA,0.0955
451,NA,NA,0.065
458,NA,NA,0.0605
486,NA,NA,0.1005
488,NA,NA,0.045
490,NA,NA,0.064
497,NA,NA,0.0645
500,NA,NA,0.0445
502,NA,NA,0.0835
503,NA,NA,0.0425
504,NA,NA,0.0775
505,NA,NA,0.0875
506,NA,NA,0.045
507,NA,NA,0.054
511,NA,NA,0.109
513,NA,NA,0.0635
515,NA,NA,0.081
516,NA,NA,0.0435
517,NA,NA,0.044
518,NA,NA,0.053
519,NA,NA,0.0505
520,NA,NA,0.0595
521,NA,NA,0.065
522,NA,NA,0.067
523,NA,NA,0.0985
524,NA,NA,0.0525
526,NA,NA,0.0535
527,NA,NA,0.0535
71,NA,NA,0.0595
78,NA,NA,0.0625
191,NA,NA,0.1005
Negative,NA,NA,0.0605
Blank_Use,NA,NA,0.0665
2x Blank,NA,NA,0.133
