U_mL,Log_Conc_U_mL,Mean_OD
1.7472232846341675,0.24234840875401,0.069
NA,NA,0.0645
NA,NA,0.0595
NA,NA,0.059
NA,NA,0.0635
NA,NA,0.063
NA,NA,0.062
2.716408748980441,0.433995120568014,0.0745
1.4015713785764812,0.146615220207271,0.067
NA,NA,0.0615
NA,NA,0.0595
2.00907907132232,0.302997029611956,0.0705
NA,NA,0.0645
NA,NA,0.063
1.921565304817047,0.283655148644106,0.07
2.00907907132232,0.302997029611956,0.0705
NA,NA,0.0645
NA,NA,0.0635
NA,NA,0.0595
NA,NA,0.0595
NA,NA,0.059
NA,NA,0.061
NA,NA,0.0625
1.7472232846341675,0.24234840875401,0.069
NA,NA,0.0645
NA,NA,0.0625
NA,NA,0.0595
NA,NA,0.058
NA,NA,0.0615
NA,NA,0.0605
NA,NA,0.062
1.487575572280852,0.172479038125537,0.0675
1.4015713785764812,0.146615220207271,0.067
1.3158633545258547,0.119210792426423,0.0665
NA,NA,0.062
NA,NA,0.063
NA,NA,0.064
NA,NA,0.0635
NA,NA,0.0635
1.921565304817047,0.283655148644106,0.07
