Animal_ID,Date,Season,Village,House,Trap,Lat_Convert,Long_Convert(W),Long_Use,Genus_og,Genus_Cytb,Cytb_species,Sex,Age_wt,Weight_g,Length_mm,Tail_mm,Ear_mm,Right_foot_mm,Lactating,Embryos_num,Embryo_length_mm,F_reproduction,Ag_RDT,RDT_Score,U_mL_GP,Positive_GP,U_mL_NP,Positive_NP,IgG_Positive,Positive_AVL,Mean_conc_AVL,Stdev_conc_AVL,Positive_Liver,Mean_conc_Liver,Stdev_conc_Liver,Positive_Lung,Mean_conc_Lung,Stdev_conc_Lung,Positive_Kidney,Mean_conc_Kidney,Stdev_conc_Kidney,Positive_Spleen,Mean_conc_Spleen,Stdev_conc_Spleen,qPCR_Positive
1,8-Nov-18,Dry,Kptema,29,898,8.27375,11.07435,-11.07435,Rattus,Rattus,Rattus rattus,F,Adult,98.4,365,194,22,33,FALSE,NA,NA,FALSE,FALSE,0,4.102783999,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8-Nov-18,Dry,Kptema,11,409,8.27375,11.07435,-11.07435,Rattus,Rattus,Rattus rattus,F,Juvenile,16.6,196,97,15,22,FALSE,NA,NA,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,8-Nov-18,Dry,Kptema,6,427,8.27375,11.07435,-11.07435,Rattus,Rattus,Rattus rattus,F,Adult,124.3,370,191,21,34,FALSE,NA,NA,FALSE,FALSE,0,5.051066265,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,8-Nov-18,Dry,Kptema,3,200,8.27375,11.07435,-11.07435,Rattus,Rattus,Rattus rattus,F,Sub_adult,37.9,272,199,23,33,FALSE,NA,NA,FALSE,FALSE,0,39.30301398,TRUE,1.969160378,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,8-Nov-18,Dry,Kptema,43,1016,8.27375,11.07435,-11.07435,Rattus,NA,NA,F,Adult,62.6,310,155,20,30,FALSE,NA,NA,FALSE,FALSE,0,2.459350827,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,8-Nov-18,Dry,Kptema,11,71,8.27375,11.07435,-11.07435,Rattus,Rattus,Rattus rattus,M,Juvenile,16.8,197,93,16,22,NA,NA,NA,NA,FALSE,0,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
7,8-Nov-18,Dry,Kptema,8,954,8.27375,11.07435,-11.07435,Rattus,Rattus,Rattus rattus,F,Juvenile,10.8,358,185,23,38,FALSE,3,28,TRUE,TRUE,1,1.1044982,FALSE,NA,FALSE,FALSE,FALSE,0,0,FALSE,0,0,FALSE,13.08112101,6.826733397,FALSE,11.58637717,0.988531069,FALSE,21.59474083,2.276781039,FALSE
8,8-Nov-18,Dry,Kptema,39,901,8.27375,11.07435,-11.07435,Malacomys,Praomys,Praomys rostratus,M,Sub_adult,26.1,233,114,18,22,NA,NA,NA,NA,TRUE,1,3.465234356,FALSE,4.493654729,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,83.2819374,39.36487772,FALSE,7.229996362,0.032859076,FALSE,2.33991102,0.083574619,FALSE
9,8-Nov-18,Dry,Kptema,13,135,8.27375,11.07435,-11.07435,Rattus,NA,NA,M,Juvenile,24.8,231,123,16,25,NA,NA,NA,NA,FALSE,0,NA,FALSE,NA,FALSE,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10,8-Nov-18,Dry,Kptema,16,606,8.27375,11.07435,-11.07435,Rattus,Rattus,Rattus rattus,F,Juvenile,14.2,300,122,22,31,FALSE,3,15,TRUE,FALSE,0,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
