Animal_ID,Species_ab,Protein,U_mL
8,Mouse,GP,3.465234356
17,Mouse,GP,12.88341988
18,Mouse,GP,1036.323668
19,Mouse,GP,128.4245495
23,Mouse,GP,4.753006052
27,Mouse,GP,NA
30,Mouse,GP,NA
31,Mouse,GP,12.614284
32,Mouse,GP,7.482376715
38,Mouse,GP,19.69384135
39,Mouse,GP,11.44728683
43,Mouse,GP,27.95912155
51,Mouse,GP,11.44728683
57,Mouse,GP,23.46140537
58,Mouse,GP,NA
63,Mouse,GP,242.5819957
66,Mouse,GP,12.5245593
67,Mouse,GP,1.309440171
68,Mouse,GP,41.30746713
70,Mouse,GP,3.557651421
79,Mouse,GP,22.56366823
101,Mouse,GP,39.11285461
103,Mouse,GP,NA
104,Mouse,GP,19.96273384
105,Mouse,GP,6.485148015
106,Mouse,GP,15.93090154
107,Mouse,GP,5.848623705
109,Mouse,GP,15.57253938
110,Mouse,GP,2.161610721
112,Mouse,GP,9.288353487
113,Mouse,GP,NA
114,Mouse,GP,13.06281375
115,Mouse,GP,7.210731251
116,Mouse,GP,4.386284338
118,Mouse,GP,21.66641232
125,Mouse,GP,8.115384869
127,Mouse,GP,2.442766514
128,Mouse,GP,10.098792509999999
131,Mouse,GP,NA
134,Mouse,GP,33.01929801
135,Mouse,GP,8.969275363
140,Mouse,GP,3.307724822
141,Mouse,GP,9.374403227
147,Mouse,GP,2.1397611
148,Mouse,GP,5.041544942
151,Mouse,GP,3.46441115
152,Mouse,GP,14.29024986
153,Mouse,GP,11.41082606
155,Mouse,GP,7.115576664
157,Mouse,GP,3.5428303
158,Mouse,GP,24.90342443
159,Mouse,GP,23.10905955
160,Mouse,GP,72.3841885
161,Mouse,GP,26.79379732
162,Mouse,GP,143.5819769
163,Mouse,GP,17.95394026
164,Mouse,GP,25.58958839
165,Mouse,GP,55.19585205
168,Mouse,GP,6.554811979
170,Mouse,GP,5.438462166
171,Mouse,GP,10.5941458
172,Mouse,GP,14.70417406
173,Mouse,GP,11.57449124
175,Mouse,GP,949.1373214
176,Mouse,GP,24.90342443
177,Mouse,GP,10.18685054
178,Mouse,GP,16.03292006
179,Mouse,GP,13.29942194
184,Mouse,GP,10.43114313
185,Mouse,GP,10.349684
188,Mouse,GP,4.724728691
189,Mouse,GP,20.73210298
190,Mouse,GP,19.38193387
192,Mouse,GP,8.888339146
196,Mouse,GP,7.356407354
200,Mouse,GP,7.115576664
202,Mouse,GP,24.4752973
205,Mouse,GP,11.7382648
210,Mouse,GP,13.62928843
211,Mouse,GP,19.71891844
213,Mouse,GP,10.55243224
214,Mouse,GP,NA
217,Mouse,GP,NA
219,Mouse,GP,6.362472396
220,Mouse,GP,NA
221,Mouse,GP,4.528817713
224,Mouse,GP,NA
225,Mouse,GP,13.46299535
237,Mouse,GP,NA
238,Mouse,GP,NA
239,Mouse,GP,24.86012522
240,Mouse,GP,NA
241,Mouse,GP,NA
242,Mouse,GP,NA
243,Mouse,GP,NA
244,Mouse,GP,NA
245,Mouse,GP,10.16773073
248,Mouse,GP,NA
253,Mouse,GP,NA
254,Mouse,GP,NA
257,Mouse,GP,NA
259,Mouse,GP,5.621033221
260,Mouse,GP,NA
261,Mouse,GP,NA
262,Mouse,GP,2.413120003
263,Mouse,GP,NA
264,Mouse,GP,NA
265,Mouse,GP,1.766809274
266,Mouse,GP,11.0300318
268,Mouse,GP,NA
269,Mouse,GP,NA
271,Mouse,GP,NA
272,Mouse,GP,18.14041807
275,Mouse,GP,NA
276,Mouse,GP,NA
277,Mouse,GP,1.069390165
278,Mouse,GP,1529.023791
279,Mouse,GP,378.4494466
280,Mouse,GP,NA
284,Mouse,GP,NA
285,Mouse,GP,7.632716522
287,Mouse,GP,NA
289,Mouse,GP,1.700406218
291,Mouse,GP,NA
292,Mouse,GP,NA
