"","Animal_ID","Species_ab","Protein","U_mL","ave_neg_U_mL","Positive"
"1",8,"Mouse","GP",3.465234356,28.2033597233333,FALSE
"2",17,"Mouse","GP",12.88341988,28.2033597233333,FALSE
"3",18,"Mouse","GP",1036.323668,28.2033597233333,TRUE
"4",19,"Mouse","GP",128.4245495,28.2033597233333,TRUE
"5",23,"Mouse","GP",4.753006052,28.2033597233333,FALSE
"6",27,"Mouse","GP",NA,28.2033597233333,FALSE
"7",30,"Mouse","GP",NA,28.2033597233333,FALSE
"8",31,"Mouse","GP",12.614284,28.2033597233333,FALSE
"9",32,"Mouse","GP",7.482376715,28.2033597233333,FALSE
"10",38,"Mouse","GP",19.69384135,28.2033597233333,FALSE
"11",39,"Mouse","GP",11.44728683,28.2033597233333,FALSE
"12",43,"Mouse","GP",27.95912155,28.2033597233333,FALSE
"13",51,"Mouse","GP",11.44728683,28.2033597233333,FALSE
"14",57,"Mouse","GP",23.46140537,28.2033597233333,FALSE
"15",58,"Mouse","GP",NA,28.2033597233333,FALSE
"16",63,"Mouse","GP",242.5819957,28.2033597233333,TRUE
"17",66,"Mouse","GP",12.5245593,28.2033597233333,FALSE
"18",67,"Mouse","GP",1.309440171,28.2033597233333,FALSE
"19",68,"Mouse","GP",41.30746713,28.2033597233333,TRUE
"20",70,"Mouse","GP",3.557651421,28.2033597233333,FALSE
"21",79,"Mouse","GP",22.56366823,28.2033597233333,FALSE
"22",101,"Mouse","GP",39.11285461,28.2033597233333,TRUE
"23",103,"Mouse","GP",NA,28.2033597233333,FALSE
"24",104,"Mouse","GP",19.96273384,28.2033597233333,FALSE
"25",105,"Mouse","GP",6.485148015,28.2033597233333,FALSE
"26",106,"Mouse","GP",15.93090154,28.2033597233333,FALSE
"27",107,"Mouse","GP",5.848623705,28.2033597233333,FALSE
"28",109,"Mouse","GP",15.57253938,28.2033597233333,FALSE
"29",110,"Mouse","GP",2.161610721,28.2033597233333,FALSE
"30",112,"Mouse","GP",9.288353487,28.2033597233333,FALSE
"31",113,"Mouse","GP",NA,28.2033597233333,FALSE
"32",114,"Mouse","GP",13.06281375,28.2033597233333,FALSE
"33",115,"Mouse","GP",7.210731251,28.2033597233333,FALSE
"34",116,"Mouse","GP",4.386284338,28.2033597233333,FALSE
"35",118,"Mouse","GP",21.66641232,28.2033597233333,FALSE
"36",125,"Mouse","GP",8.115384869,28.2033597233333,FALSE
"37",127,"Mouse","GP",2.442766514,28.2033597233333,FALSE
"38",128,"Mouse","GP",10.09879251,28.2033597233333,FALSE
"39",131,"Mouse","GP",NA,28.2033597233333,FALSE
"40",134,"Mouse","GP",33.01929801,28.2033597233333,TRUE
"41",135,"Mouse","GP",8.969275363,28.2033597233333,FALSE
"42",140,"Mouse","GP",3.307724822,28.2033597233333,FALSE
"43",141,"Mouse","GP",9.374403227,28.2033597233333,FALSE
"44",147,"Mouse","GP",2.1397611,28.2033597233333,FALSE
"45",148,"Mouse","GP",5.041544942,28.2033597233333,FALSE
"46",151,"Mouse","GP",3.46441115,28.2033597233333,FALSE
"47",152,"Mouse","GP",14.29024986,28.2033597233333,FALSE
"48",153,"Mouse","GP",11.41082606,28.2033597233333,FALSE
"49",155,"Mouse","GP",7.115576664,28.2033597233333,FALSE
"50",157,"Mouse","GP",3.5428303,28.2033597233333,FALSE
"51",158,"Mouse","GP",24.90342443,28.2033597233333,FALSE
"52",159,"Mouse","GP",23.10905955,28.2033597233333,FALSE
"53",160,"Mouse","GP",72.3841885,28.2033597233333,TRUE
"54",161,"Mouse","GP",26.79379732,28.2033597233333,FALSE
"55",162,"Mouse","GP",143.5819769,28.2033597233333,TRUE
"56",163,"Mouse","GP",17.95394026,28.2033597233333,FALSE
"57",164,"Mouse","GP",25.58958839,28.2033597233333,FALSE
"58",165,"Mouse","GP",55.19585205,28.2033597233333,TRUE
"59",168,"Mouse","GP",6.554811979,28.2033597233333,FALSE
"60",170,"Mouse","GP",5.438462166,28.2033597233333,FALSE
"61",171,"Mouse","GP",10.5941458,28.2033597233333,FALSE
"62",172,"Mouse","GP",14.70417406,28.2033597233333,FALSE
"63",173,"Mouse","GP",11.57449124,28.2033597233333,FALSE
"64",175,"Mouse","GP",949.1373214,28.2033597233333,TRUE
"65",176,"Mouse","GP",24.90342443,28.2033597233333,FALSE
"66",177,"Mouse","GP",10.18685054,28.2033597233333,FALSE
"67",178,"Mouse","GP",16.03292006,28.2033597233333,FALSE
"68",179,"Mouse","GP",13.29942194,28.2033597233333,FALSE
"69",184,"Mouse","GP",10.43114313,28.2033597233333,FALSE
"70",185,"Mouse","GP",10.349684,28.2033597233333,FALSE
"71",188,"Mouse","GP",4.724728691,28.2033597233333,FALSE
"72",189,"Mouse","GP",20.73210298,28.2033597233333,FALSE
"73",190,"Mouse","GP",19.38193387,28.2033597233333,FALSE
"74",192,"Mouse","GP",8.888339146,28.2033597233333,FALSE
"75",196,"Mouse","GP",7.356407354,28.2033597233333,FALSE
"76",200,"Mouse","GP",7.115576664,28.2033597233333,FALSE
"77",202,"Mouse","GP",24.4752973,28.2033597233333,FALSE
"78",205,"Mouse","GP",11.7382648,28.2033597233333,FALSE
"79",210,"Mouse","GP",13.62928843,28.2033597233333,FALSE
"80",211,"Mouse","GP",19.71891844,28.2033597233333,FALSE
"81",213,"Mouse","GP",10.55243224,28.2033597233333,FALSE
"82",214,"Mouse","GP",NA,28.2033597233333,FALSE
"83",217,"Mouse","GP",NA,28.2033597233333,FALSE
"84",219,"Mouse","GP",6.362472396,28.2033597233333,FALSE
