Date,Season,Village,House,Trap,Lat_Convert,Long_Convert(W),Long_Use,Animal_ID,Genus_og,Genus_Cytb,Cytb_species,Sex,Age_wt,Weight_g,Length_mm,Tail_mm,Ear_mm,Right_foot_mm,Lactating,Embryos_num,Embryo_length_mm,F_reproduction,Ag_RDT,RDT_Score
8-Nov-18,Dry,Kptema,29,898,8.27375,11.07435,-11.07435,1,Rattus,Rattus,Rattus rattus,F,Adult,98.4,365,194,22,33,FALSE,NA,NA,FALSE,FALSE,0
8-Nov-18,Dry,Kptema,11,409,8.27375,11.07435,-11.07435,2,Rattus,Rattus,Rattus rattus,F,Juvenile,16.6,196,97,15,22,FALSE,NA,NA,FALSE,FALSE,0
8-Nov-18,Dry,Kptema,6,427,8.27375,11.07435,-11.07435,3,Rattus,Rattus,Rattus rattus,F,Adult,124.3,370,191,21,34,FALSE,NA,NA,FALSE,FALSE,0
8-Nov-18,Dry,Kptema,3,200,8.27375,11.07435,-11.07435,4,Rattus,Rattus,Rattus rattus,F,Sub_adult,37.9,272,199,23,33,FALSE,NA,NA,FALSE,FALSE,0
8-Nov-18,Dry,Kptema,43,1016,8.27375,11.07435,-11.07435,5,Rattus,NA,NA,F,Adult,62.6,310,155,20,30,FALSE,NA,NA,FALSE,FALSE,0
8-Nov-18,Dry,Kptema,11,71,8.27375,11.07435,-11.07435,6,Rattus,Rattus,Rattus rattus,M,Juvenile,16.8,197,93,16,22,NA,NA,NA,NA,FALSE,0
8-Nov-18,Dry,Kptema,8,954,8.27375,11.07435,-11.07435,7,Rattus,Rattus,Rattus rattus,F,Juvenile,10.8,358,185,23,38,FALSE,3,28,TRUE,TRUE,1
8-Nov-18,Dry,Kptema,39,901,8.27375,11.07435,-11.07435,8,Malacomys,Praomys,Praomys rostratus,M,Sub_adult,26.1,233,114,18,22,NA,NA,NA,NA,TRUE,1
8-Nov-18,Dry,Kptema,13,135,8.27375,11.07435,-11.07435,9,Rattus,NA,NA,M,Juvenile,24.8,231,123,16,25,NA,NA,NA,NA,FALSE,0
8-Nov-18,Dry,Kptema,16,606,8.27375,11.07435,-11.07435,10,Rattus,Rattus,Rattus rattus,F,Juvenile,14.2,300,122,22,31,FALSE,3,15,TRUE,FALSE,0
8-Nov-18,Dry,Kptema,13,300,8.27375,11.07435,-11.07435,11,Rattus,Rattus,Rattus rattus,F,Sub_adult,25.1,234,118,18,24,FALSE,NA,NA,FALSE,FALSE,0
8-Nov-18,Dry,Kptema,5,29,8.27375,11.07435,-11.07435,12,Rattus,Rattus,Rattus rattus,F,Sub_adult,29.1,266,138,19,29,FALSE,NA,NA,FALSE,FALSE,0
8-Nov-18,Dry,Kptema,7,927,8.27375,11.07435,-11.07435,13,Rattus,NA,NA,F,Adult,85.8,348,178,23,38,FALSE,NA,NA,FALSE,FALSE,0
8-Nov-18,Dry,Kptema,8,971,8.27375,11.07435,-11.07435,14,Rattus,NA,NA,M,Adult,66.6,325,177,22,34,NA,NA,NA,NA,FALSE,0
8-Nov-18,Dry,Kptema,8,974,8.27375,11.07435,-11.07435,15,Rattus,Rattus,Rattus rattus,M,Adult,98.8,368,193,21,35,NA,NA,NA,NA,FALSE,0
8-Nov-18,Dry,Kptema,9,2,8.27375,11.07435,-11.07435,16,Rattus,Rattus,Rattus rattus,M,Adult,91.2,305,172,21,31,NA,NA,NA,NA,FALSE,0
9-Nov-18,Dry,Kptema,32,932,8.27375,11.07435,-11.07435,17,Mastomys,Mastomys,Mastomys natalensis,F,Sub_adult,28.7,221,98,16,24,FALSE,NA,NA,FALSE,TRUE,4
9-Nov-18,Dry,Kptema,28,802,8.27375,11.07435,-11.07435,18,Mastomys,Mastomys,Mastomys natalensis,M,Adult,51.5,201,114,17,23,NA,NA,NA,NA,TRUE,4
9-Nov-18,Dry,Kptema,31,994,8.27375,11.07435,-11.07435,19,Mastomys,Mastomys,Mastomys natalensis,M,Sub_adult,30.4,215,96,18,24,NA,NA,NA,NA,TRUE,4
9-Nov-18,Dry,Kptema,8,971,8.27375,11.07435,-11.07435,20,Rattus,Mastomys,Mastomys natalensis,F,Adult,100.5,355,184,24,32,FALSE,NA,NA,FALSE,FALSE,0
9-Nov-18,Dry,Kptema,34,904,8.27375,11.07435,-11.07435,21,Rattus,Rattus,Rattus rattus,M,Juvenile,15.6,193,96,16,24,NA,NA,NA,NA,FALSE,0
9-Nov-18,Dry,Kptema,29,898,8.27375,11.07435,-11.07435,22,Rattus,Rattus,Rattus rattus,M,Sub_adult,27.4,235,121,17,25,NA,NA,NA,NA,FALSE,0
9-Nov-18,Dry,Kptema,2,862,8.27375,11.07435,-11.07435,23,Mastomys,Mastomys,Mastomys natalensis,M,Juvenile,21.8,101,126,12,28,NA,NA,NA,NA,TRUE,5
9-Nov-18,Dry,Kptema,34,908,8.27375,11.07435,-11.07435,24,Rattus,Rattus,Rattus rattus,F,Adult,54.3,301,155,21,28,FALSE,NA,NA,FALSE,FALSE,0
9-Nov-18,Dry,Kptema,3,226,8.27375,11.07435,-11.07435,25,Rattus,Rattus,Rattus rattus,M,Juvenile,21.9,238,123,17,24,NA,NA,NA,NA,FALSE,0
9-Nov-18,Dry,Kptema,11,71,8.27375,11.07435,-11.07435,26,Rattus,Rattus,Rattus rattus,F,Juvenile,16.7,205,104,17,23,FALSE,NA,NA,FALSE,FALSE,0
9-Nov-18,Dry,Kptema,15,17,8.27375,11.07435,-11.06648333,27,Mastomys,Mastomys,Mastomys natalensis,M,Adult,53.2,204,98,17,23,NA,NA,NA,NA,FALSE,0
9-Nov-18,Dry,Kptema,43,1019,8.27375,11.07435,-11.08528333,28,Rattus,Rattus,Rattus rattus,M,Adult,48.8,279,143,22,28,NA,NA,NA,NA,FALSE,0
9-Nov-18,Dry,Kptema,22,13,8.27375,11.07435,-11.08528333,29,Rattus,Rattus,Rattus rattus,M,Adult,119.8,310,184,24,34,NA,NA,NA,NA,FALSE,0
10-Nov-18,Dry,Gouma,1,930,8.2869,11.06648333,-11.06648333,30,Mastomys,Mastomys,Mastomys natalensis,M,Adult,78.4,284,123,18,24,NA,NA,NA,NA,FALSE,0
10-Nov-18,Dry,Gouma,15,924,8.2869,11.06648333,-11.06648333,31,Mastomys,NA,NA,F,Adult,55.5,258,114,18,24,FALSE,7,4,TRUE,FALSE,0
10-Nov-18,Dry,Gouma,18,437,8.2869,11.06648333,-11.06648333,32,Praomys,Praomys,Praomys rostratus,F,Adult,42.4,268,134,19,25,FALSE,NA,NA,FALSE,FALSE,0
10-Nov-18,Dry,Gouma,1,899,8.2869,11.06648333,-11.06648333,33,Mastomys,Mastomys,Mastomys natalensis,F,Juvenile,16.7,185,88,15,22,FALSE,NA,NA,FALSE,TRUE,1
10-Nov-18,Dry,Gouma,14,862,8.2869,11.06648333,-11.06648333,34,Rattus,Rattus,Rattus rattus,F,Adult,75.3,304,182,19,24,FALSE,NA,NA,FALSE,FALSE,0
10-Nov-18,Dry,Gouma,3,913,8.2869,11.06648333,-11.06648333,35,Praomys,Praomys,Praomys rostratus,F,Adult,40.3,259,131,19,25,FALSE,NA,NA,FALSE,TRUE,4
10-Nov-18,Dry,Gouma,1,808,8.2869,11.06648333,-11.06648333,36,Mastomys,Mastomys,Mastomys natalensis,M,Juvenile,15.3,169,76,16,21,NA,NA,NA,NA,FALSE,0
